win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
4104,1760046327.5846584,1760046327.6844103,99.75194931030272,80,17,1.2500256299972534,1.719423013780186,3.41524101186092,8.0,6497.3595703125,5.725,6.170443663141253,0,15,114.6625,118.55999997364204,0,255,107.525,11.093889083635188,62,115,197.8,48.231317626620985,0,255,133.6,72.89420415917853,4,253,129.025,73.68649384385174,3.0,254.0,110.7375,61.23780363264182,18.0,236.0,128.9125,82.97924345129933,0.0,255.0,can_log_regular_no_traffic.csv,0
3058,1760046222.9847016,1760046223.0844345,99.7328758239746,80,17,1.2498557567596436,1.7116700170882644,3.41524101186092,8.0,6710.184765625,5.725,6.170443663141253,0,15,114.7,118.56373813270226,0,255,71.5,12.956658519849938,58,108,136.95,85.51109577125064,25,219,148.9375,70.20262526252135,5,253,119.9375,76.24751532836989,3.0,251.0,121.925,70.28811688329688,6.0,244.0,128.65,72.97689702912832,7.0,254.0,can_log_regular_no_traffic.csv,0
1061,1760047671.0091317,1760047671.1065156,97.38397598266602,80,17,1.2502580881118774,1.9286398805479028,3.41524101186092,8.0,6852.3642578125,5.725,6.170443663141253,0,15,114.6,118.55332133685673,0,255,124.0,13.715866724345204,114,165,193.825,72.05618901246444,5,246,143.3875,71.5818576438891,0,248,105.15,73.80465771209835,1.0,250.0,103.1375,67.7600073328656,2.0,254.0,117.4375,80.0983526281908,0.0,254.0,can_log_regular_with_traffic.csv,0
2802,1760047845.1093695,1760047845.2037897,94.42019462585448,37,10,2.7024552628800675,2.3315157080761684,2.5159981535581157,8.0,6090.732263513513,2.216216216216216,3.527001138975096,0,8,34.351351351351354,56.38679940218721,0,128,179.9189189189189,4.308247140759023,171,182,195.83783783783784,13.433547183065588,183,223,100.67567567567568,65.79248870873792,4,234,91.64864864864865,58.967336912041176,18.0,225.0,126.48648648648648,77.03513470843752,2.0,233.0,140.86486486486487,67.52983811466268,2.0,235.0,can_log_regular_with_traffic.csv,0
393,1760045956.4846015,1760045956.5843556,99.75409507751463,80,17,1.2498944997787476,1.888734401103402,3.41524101186092,8.0,7060.9001953125,2.8,3.672192805395708,0,10,86.875,85.08751009989656,0,255,203.2375,46.55460335724062,48,226,103.8875,89.03510455853916,0,255,138.675,76.0957907837221,0,254,121.4375,72.00483382211225,3.0,255.0,125.4625,73.74821078338104,2.0,253.0,122.6375,74.77971712804217,17.0,255.0,can_log_regular_no_traffic.csv,0
2708,1760047835.7126193,1760047835.808503,95.88360786437988,37,10,2.7030803061820365,2.3367933092585025,2.5159981535581157,8.0,6322.070523648648,2.216216216216216,3.527001138975096,0,8,34.24324324324324,56.20878329239217,0,128,177.48648648648648,3.133270647824743,171,179,39.13513513513514,43.5189689378571,11,129,125.13513513513512,76.07789825803627,3,249,102.91891891891892,70.08657903617087,2.0,246.0,110.37837837837836,78.2723420660547,8.0,255.0,148.67567567567568,78.56209596135251,26.0,253.0,can_log_regular_with_traffic.csv,0
1807,1760047745.6099818,1760047745.707113,97.13125228881836,80,17,1.2498140335083008,1.9000041125644536,3.41524101186092,8.0,6605.3669921875,5.725,6.170443663141253,0,15,114.6875,118.56259884023292,0,255,150.125,9.848064530657789,117,167,125.7,105.49566341798132,16,252,117.55,75.40920036706397,5,253,118.9625,76.05285066156297,0.0,253.0,119.35,69.81602609716482,0.0,232.0,123.5625,70.22959556874865,16.0,254.0,can_log_regular_with_traffic.csv,0
3684,1760046285.584631,1760046285.6844027,99.77173805236816,80,17,1.2500017881393433,1.7155158068253795,3.41524101186092,8.0,6275.1521484375,5.725,6.170443663141253,0,15,114.725,118.5663290103899,0,255,93.2875,10.276421738620886,61,110,115.1,53.704655291696994,38,244,138.2625,75.64832181714276,1,252,125.3875,77.9513460034527,3.0,254.0,135.175,76.819882680202,2.0,254.0,138.4,75.47459837587742,16.0,255.0,can_log_regular_no_traffic.csv,0
1322,1760046049.3846438,1760046049.484385,99.74122047424316,80,17,1.249977946281433,1.7998653171238832,3.41524101186092,8.0,7514.8171875,5.725,6.170443663141253,0,15,114.75,118.56891456026744,0,255,107.625,112.61376192544142,7,249,57.8125,64.27404097884309,1,236,136.2375,68.30798704214611,0,247,145.1875,77.21869814850545,12.0,253.0,129.125,64.39048357482649,11.0,247.0,124.0625,78.2800012375447,2.0,250.0,can_log_regular_no_traffic.csv,0
1603,1760046077.484776,1760046077.5845437,99.76768493652344,80,17,1.250353455543518,1.7775172371407817,3.41524101186092,8.0,7484.217578125,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,21.2125,26.957695445827728,4,102,97.4125,96.20533947629936,0,255,112.4125,73.17473842624925,0,251,146.8125,71.83489642054202,3.0,254.0,138.9,71.14731196608906,17.0,255.0,124.275,74.47180254968991,10.0,247.0,can_log_regular_no_traffic.csv,0
