win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
10,1760045918.1848366,1760045918.2845962,99.75957870483398,80,17,1.2501239776611328,1.9363321451821192,3.41524101186092,8.0,7295.6822265625,5.725,6.170443663141253,0,15,114.725,118.5663290103899,0,255,189.875,42.370206218521055,46,211,125.5625,86.67465658282126,9,204,140.0,75.22615901400258,6,255,134.4875,72.07790815326149,3,254,128.2625,66.63721628151944,8,238,133.075,71.84301897192239,15,254,can_log_regular_no_traffic.csv,0
11,1760045918.2848122,1760045918.384586,99.77388381958008,80,17,1.2498736381530762,1.9345071268606484,3.41524101186092,8.0,6756.687109375,5.725,6.170443663141253,0,15,114.6875,118.56259884023292,0,255,189.875,42.370206218521055,46,211,134.4375,86.16043810096372,19,213,112.6125,70.6281625398113,12,255,144.4875,68.8705295736137,7,254,137.0125,61.24489647105302,0,239,117.0875,75.33793761279901,5,255,can_log_regular_no_traffic.csv,0
12,1760045918.3848455,1760045918.484584,99.73859786987305,80,17,1.2499749660491943,1.9339308321814488,3.41524101186092,8.0,7270.725390625,5.725,6.170443663141253,0,15,114.65,118.55854039249988,0,255,189.875,42.370206218521055,46,211,143.3125,85.74651505309123,29,223,114.2125,71.00892439510682,2,253,111.2125,75.66731357561203,1,255,114.1,72.09934118977787,0,238,129.1875,76.12097177355265,2,255,can_log_regular_no_traffic.csv,0
13,1760045918.4848075,1760045918.5845823,99.77483749389648,80,17,1.249977946281433,1.9393890453104918,3.41524101186092,8.0,7037.402734375,5.725,6.170443663141253,0,15,114.675,118.56145821893385,0,255,189.875,42.370206218521055,46,211,152.1875,85.43434522339362,39,233,117.0125,74.27238614552519,2,247,118.9375,75.6859207101955,2,254,119.2625,63.8307809269948,7,230,131.225,75.91508002366852,1,254,can_log_regular_no_traffic.csv,0
14,1760045918.584807,1760045918.684583,99.77602958679199,80,17,1.2500077486038208,1.9328079341639788,3.41524101186092,8.0,7386.218359375,5.725,6.170443663141253,0,15,114.7125,118.56519237849699,0,255,189.875,42.370206218521055,46,211,161.0625,85.22504675123388,49,243,139.6125,77.68984710855081,4,248,120.4875,74.22617357610454,3,254,139.1375,76.67671480801718,14,239,130.0875,71.0839633373801,1,251,can_log_regular_no_traffic.csv,0
15,1760045918.6848094,1760045918.78458,99.77054595947266,80,17,1.2499630451202393,1.93653686635907,3.41524101186092,8.0,7122.6201171875,5.725,6.170443663141253,0,15,114.7,118.56373813270226,0,255,189.875,42.370206218521055,46,211,169.9375,85.11937848545418,59,253,140.775,68.41380982667168,0,255,114.175,74.27748228770278,3,251,126.1625,60.00634211273006,3,229,122.8875,77.06717747361715,0,252,can_log_regular_no_traffic.csv,0
16,1760045918.78483,1760045918.8845866,99.75647926330566,80,17,1.25008225440979,1.932632187136483,3.41524101186092,8.0,6993.9583984375,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,190.2375,42.55327359616417,46,212,86.0125,86.49616953223996,0,255,125.3,72.01603988001564,6,249,131.1375,69.6765282842795,7,255,108.3625,63.394054088297594,4,237,127.4875,68.04887834307046,7,242,can_log_regular_no_traffic.csv,0
17,1760045918.8848288,1760045918.984594,99.76530075073242,80,17,1.2500941753387451,1.9357099990451456,3.41524101186092,8.0,6818.0673828125,5.725,6.170443663141253,0,15,114.625,118.55593352928398,0,255,190.375,42.62170075208168,46,212,59.6875,56.12900180610733,7,211,113.5625,68.85017134147162,0,247,115.4125,68.65305778878314,6,254,131.8125,62.63427451284161,0,238,132.1125,71.48391318156834,0,250,can_log_regular_no_traffic.csv,0
18,1760045918.9848306,1760045919.0845768,99.7462272644043,80,17,1.249784231185913,1.9346590458012938,3.41524101186092,8.0,6804.7486328125,5.725,6.170443663141253,0,15,114.725,118.5663290103899,0,255,190.375,42.62170075208168,46,212,68.5625,53.8295559497754,17,212,134.0,73.48928493324725,2,253,121.0875,72.02832667603766,2,255,144.4625,60.2990347663211,10,253,128.725,67.27480490495681,16,253,can_log_regular_no_traffic.csv,0
19,1760045919.0848017,1760045919.184587,99.78532791137695,80,17,1.2501269578933716,1.9351701529310998,3.41524101186092,8.0,7113.3287109375,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,190.375,42.62170075208168,46,212,77.4375,51.59938074967567,27,213,131.675,77.11221936243311,2,251,130.0625,77.17469529418305,3,255,119.0875,74.11902484349073,5,250,120.525,78.9404799516699,10,255,can_log_regular_no_traffic.csv,0
20,1760045919.184826,1760045919.2845762,99.75028038024902,80,17,1.2498646974563599,1.9360342207754222,3.41524101186092,8.0,6804.725390625,5.725,6.170443663141253,0,15,114.65,118.55854039249988,0,255,190.375,42.62170075208168,46,212,86.3125,49.447849738386,37,214,144.2625,68.82800007082874,19,253,126.9125,67.12361614029744,2,250,122.25,76.81186431795547,2,243,118.0625,74.95921286773228,0,254,can_log_regular_no_traffic.csv,0
