win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
11,1760725355.2053866,1760725355.30026,94.87342834472656,79,17,1.203633561919007,1.5754059608894477,3.4196666886046656,8.0,6980.645965189873,2.430379746835443,4.306849253073959,0,12,34.822784810126585,84.07768551982994,0,255,202.18987341772151,43.523040878662755,73,225,144.873417721519,31.33985495455179,107,215,133.15189873417722,66.48443019549859,2,236,114.60759493670886,75.15038386782527,4,254,122.81012658227849,80.24299739933414,2,252,135.08860759493672,75.54430167645158,1,253,can_log_3.csv,0
12,1760725355.3051934,1760725355.4002018,95.00837326049805,80,17,1.2492716312408447,1.622972426459049,3.41524101186092,8.0,7396.7916015625,2.4,4.288356328478313,0,12,34.375,83.64215070764261,0,255,202.475,43.32435083183588,73,225,153.7875,28.820866464247747,117,216,124.3,78.0695843462741,0,254,132.825,75.52628267695957,0,251,169.4125,68.5459141287794,0,254,125.7625,68.92028796914595,1,237,can_log_3.csv,0
13,1760725355.4051788,1760725355.500255,95.07632255554199,80,17,1.2506663799285889,1.6186043619700528,3.41524101186092,8.0,6994.0060546875,2.4,4.288356328478313,0,12,34.4125,83.63577191459405,0,255,202.475,43.32435083183588,73,225,162.6625,26.62655805300415,127,217,125.275,72.20231557921117,2,255,128.625,69.1524357850105,6,254,84.4625,66.87094730710788,0,252,124.275,76.62864591652391,3,249,can_log_3.csv,0
14,1760725355.505214,1760725355.6051743,99.9603271484375,81,17,1.2952987058663075,1.6844442375736883,3.4093631695728717,8.0,7112.073109567901,2.3703703703703702,4.270034678913288,0,12,33.93827160493827,83.21300137005426,0,255,202.7530864197531,43.12786926985803,73,225,171.74074074074073,24.51241951669427,137,218,108.39506172839506,74.37852454764804,7,253,127.38271604938272,76.6148887798353,3,255,105.82716049382717,66.48211309121429,1,252,120.41975308641975,71.03100769565374,1,254,can_log_3.csv,0
15,1760725355.605409,1760725355.700176,94.76709365844727,79,17,1.2025531334213064,1.5728463513266633,3.4196666886046656,8.0,7615.100079113924,2.430379746835443,4.306849253073959,0,12,34.822784810126585,84.07753496574294,0,255,202.18987341772151,43.523040878662755,73,225,180.31645569620252,22.904614704894794,147,219,135.0,70.61645377887363,1,250,145.0379746835443,71.72935120120768,2,250,128.32911392405063,83.04455438581701,3,255,134.91139240506328,76.51262655347708,18,253,can_log_3.csv,0
16,1760725355.7052195,1760725355.8001676,94.94805335998535,80,17,1.2498944997787476,1.6098324212853217,3.41524101186092,8.0,7647.64765625,2.4,4.288356328478313,0,12,34.375,83.64244959947072,0,255,202.475,43.32435083183588,73,225,189.2875,21.219798390889576,157,220,125.925,76.04156347024961,5,255,120.775,69.01122644178989,6,254,154.175,81.88967807361314,3,255,127.5125,73.81801842199505,16,254,can_log_3.csv,0
17,1760725355.8052042,1760725355.900158,94.95377540588379,80,17,1.2498795986175537,1.6169686829709449,3.41524101186092,8.0,7764.97421875,2.4,4.288356328478313,0,12,34.3875,83.64037508135655,0,255,202.475,43.32435083183588,73,225,198.1625,19.987148214540262,167,221,142.25,70.08521598739637,3,248,130.5,74.47214244266107,2,255,128.35,80.30272411319557,1,252,128.225,73.38136258614986,9,245,can_log_3.csv,0
18,1760725355.9051857,1760725356.0001972,95.01147270202637,80,17,1.2504905462265015,1.6439762997424514,3.41524101186092,8.0,7913.550390625,2.4,4.288356328478313,0,12,34.3875,83.64007618211507,0,255,202.475,43.32435083183588,73,225,207.0375,19.141867561708807,177,227,121.975,70.55334418013082,0,244,136.7,78.45004780113267,8,255,98.15,75.0401725744284,2,254,118.35,70.07051805146013,0,233,can_log_3.csv,0
19,1760725356.0052495,1760725356.1002426,94.99311447143555,80,17,1.2505680322647095,1.6171600056025122,3.41524101186092,8.0,8165.205078125,2.4,4.288356328478313,0,12,34.3875,83.63992673209376,0,255,202.475,43.32435083183588,73,225,215.9125,18.736457609430875,187,237,126.3875,77.10617578216417,4,252,106.4125,67.04917854642218,3,235,128.0125,78.87973341581474,0,254,138.7375,74.23219378241491,1,243,can_log_3.csv,0
20,1760725356.1052823,1760725356.2002118,94.92945671081543,80,17,1.2496143579483032,1.6183501846833,3.41524101186092,8.0,8416.566796875,2.4,4.288356328478313,0,12,34.4,83.63799973696162,0,255,202.475,43.32435083183588,73,225,224.7875,18.799397430502925,197,247,113.675,68.54538186486383,3,249,135.825,75.01446110584278,0,246,168.3375,67.54904583893098,2,255,123.625,78.5185288642114,0,255,can_log_3.csv,0
