threshold,tp,fp,tn,fn,precision,recall,f1,fpr,tpr,support_pos,support_neg,fp_per_hour,dataset,split,detector
0.5416697012119293,0,11,1002,0,0.0,,,0.01085883514313919,,0,1013,397.50602923876556,hcrl_full,val,isolation_forest
0.07846009885279806,0,11,1002,0,0.0,,,0.01085883514313919,,0,1013,397.50602923876556,hcrl_full,val,pca
0.03168601717909216,0,11,1002,0,0.0,,,0.01085883514313919,,0,1013,397.50602923876556,hcrl_full,val,autoencoder
0.5416697012119293,55304,0,0,2261,1.0,0.9607226613393555,0.9799679274202837,,0.9607226613393555,57565,0,0.0,hcrl_full,test,isolation_forest
0.07846009885279806,57565,0,0,0,1.0,1.0,1.0,,1.0,57565,0,0.0,hcrl_full,test,pca
0.03168601717909216,57565,0,0,0,1.0,1.0,1.0,,1.0,57565,0,0.0,hcrl_full,test,autoencoder
