score,window_index
0.9668078,19
0.98524547,20
0.97208315,21
0.9353119,22
0.965114,23
0.75162095,24
0.73864794,25
0.737249,26
0.7583542,27
0.7757004,28
0.7846753,29
0.6839964,30
0.9013625,31
0.859553,32
0.86308116,33
0.8498563,34
0.85640836,35
0.8789215,36
0.8102831,37
0.79777545,38
0.8027564,39
0.7827857,40
0.8007013,41
0.81258774,42
0.8169051,43
0.82271594,44
0.7981887,45
0.814531,46
0.8298764,47
0.83607924,48
0.8597866,49
0.87809396,50
0.6324472,51
0.61850095,52
0.60985917,53
0.6284563,54
0.6171724,55
0.6335083,56
0.63347054,57
0.6057477,58
0.5971865,59
0.6611921,60
0.65148026,61
0.6380089,62
0.6385673,63
0.6076067,64
0.6164466,65
0.6456921,66
0.59942746,67
0.5861917,68
0.5672429,69
0.58187467,70
0.6073503,71
0.65226823,72
0.65622693,73
0.65707296,74
0.6689403,75
0.7353407,76
0.721111,77
0.717555,78
0.72227263,79
0.6780124,80
0.734763,81
0.7010643,82
0.70430875,83
0.7239317,84
0.7563284,85
0.74834526,86
0.7952297,87
0.8496837,88
0.8414748,89
0.80125296,90
0.9829393,91
0.94655234,92
0.9600887,93
0.94769174,94
0.91770476,95
0.8592713,96
0.8732471,97
0.8838106,98
0.8736054,99
0.87296385,100
0.8138811,101
0.81311274,102
0.82876813,103
0.8222696,104
0.7979747,105
0.7521689,106
0.7515683,107
0.7559478,108
0.7647926,109
0.7894827,110
0.5406417,111
0.543824,112
0.5390942,113
0.53047025,114
0.5495345,115
0.56551737,116
0.6262474,117
0.6126788,118
0.6183099,119
0.6533737,120
0.64055735,121
0.652801,122
0.60182583,123
0.6044263,124
0.6017164,125
0.6134796,126
0.5979007,127
0.60104525,128
0.58939505,129
0.59886235,130
0.6192987,131
0.56881356,132
0.61329883,133
0.6152044,134
0.60311526,135
0.56340945,136
0.5625736,137
0.5811038,138
0.5991002,139
0.6025623,140
0.63578475,141
0.66390646,142
0.6761668,143
0.6779273,144
0.6780137,145
0.661855,146
0.66042346,147
0.65845335,148
0.6765895,149
0.67546844,150
0.71622145,151
0.72665054,152
0.6567041,153
0.6467261,154
0.64362115,155
0.6404206,156
0.6365796,157
0.6873715,158
0.674684,159
0.68327904,160
0.70606005,161
0.7046592,162
0.7409396,163
0.7486656,164
0.7535136,165
0.76860994,166
0.85131145,167
0.8612224,168
0.86588365,169
0.86824656,170
0.8159445,171
0.81738126,172
0.83827186,173
0.8741523,174
0.8636412,175
0.8681724,176
0.79615873,177
0.7550257,178
0.75116104,179
0.72287405,180
0.7243906,181
0.69374764,182
0.64333975,183
0.69037443,184
0.67401236,185
0.6685195,186
0.6555687,187
0.62836003,188
0.61269766,189
0.616244,190
0.6419088,191
0.67405105,192
0.68675476,193
0.6562793,194
0.6690437,195
0.7267459,196
0.7259495,197
0.72530633,198
0.710598,199
0.73524874,200
0.76152873,201
0.7765562,202
0.69784355,203
0.66575044,204
0.6531917,205
0.65357864,206
0.6248565,207
0.6115223,208
0.63613266,209
0.64011884,210
0.609672,211
0.5650311,212
0.5484767,213
0.5664661,214
0.57399046,215
0.54062617,216
0.5445399,217
0.5789432,218
0.5823252,219
0.5860978,220
0.63960344,221
0.6373624,222
0.6346809,223
0.632938,224
0.6443272,225
0.65174323,226
0.70734006,227
0.71887153,228
0.72568876,229
0.72899145,230
0.7159645,231
0.7086525,232
0.71526337,233
0.7089362,234
0.74443173,235
0.7421959,236
0.7583443,237
0.73316437,238
0.7307089,239
0.7257111,240
0.703752,241
0.68373376,242
0.68630874,243
0.6907146,244
0.6929183,245
0.7006112,246
0.6673483,247
0.641335,248
0.67177904,249
0.68127966,250
0.69216996,251
0.6935229,252
0.6741215,253
0.7018304,254
0.62641346,255
0.6077979,256
0.5975987,257
0.6098625,258
0.6313097,259
0.6357196,260
0.59964293,261
0.61557555,262
0.6165027,263
0.65355766,264
0.6817652,265
0.69509757,266
0.65031767,267
0.66296214,268
0.59051836,269
0.5858942,270
0.58870524,271
0.6029688,272
0.66402346,273
0.70465857,274
0.71106774,275
0.69479215,276
0.69261986,277
0.6765376,278
0.6498569,279
0.6476012,280
0.69895065,281
0.7117339,282
0.7372551,283
0.73400736,284
0.6875239,285
0.697152,286
0.7765486,287
0.78000826,288
0.78063375,289
0.8059085,290
0.8011278,291
0.78764856,292
0.76185745,293
0.7228712,294
0.71740943,295
0.71708524,296
0.7187134,297
0.7292545,298
0.7368381,299
0.77876425,300
0.727402,301
0.7902443,302
0.73711747,303
0.7543166,304
0.77228606,305
0.795625,306
0.7699546,307
0.8158904,308
0.8290348,309
0.85704726,310
0.8280336,311
0.8164028,312
0.8644113,313
0.8325979,314
0.94227844,315
0.95103043,316
0.9824512,317
0.98093694,318
0.98704964,319
0.95636386,320
0.98890746,321
0.923404,322
0.92573816,323
0.878517,324
0.8744765,325
0.8470059,326
0.82272875,327
0.80374044,328
0.836304,329
0.75707984,330
0.75008804,331
0.7829677,332
0.77191865,333
0.8077368,334
0.6867871,335
0.6814793,336
0.6405223,337
0.6390647,338
0.631663,339
0.6260925,340
0.7755906,341
0.7855061,342
0.7629269,343
0.7451538,344
0.7662587,345
0.7982373,346
0.8010971,347
0.7989235,348
0.8213688,349
0.8182757,350
0.843959,351
0.82573783,352
0.84563094,353
0.8115753,354
0.8236377,355
0.8156863,356
0.8187359,357
0.8044055,358
0.80183136,359
0.83545953,360
0.68898153,361
0.71118337,362
0.7177256,363
0.72586626,364
0.69735754,365
0.6553761,366
0.66964704,367
0.87938446,368
0.89671755,369
0.8981095,370
0.89381546,371
0.8612126,372
0.8707036,373
0.8744269,374
0.87803346,375
0.88446975,376
0.8942931,377
0.9181752,378
0.9461989,379
0.89010406,380
0.88149506,381
0.8287384,382
0.8248593,383
0.8857725,384
0.87692225,385
0.88123345,386
0.8841217,387
0.67664635,388
0.6944411,389
0.7243356,390
0.7059506,391
0.7123768,392
0.6716342,393
0.7102599,394
0.71056855,395
0.70772636,396
0.7701576,397
0.8409944,398
0.8146297,399
0.79361117,400
0.80113983,401
0.8066469,402
0.81773514,403
0.77257806,404
0.76639587,405
0.78404254,406
0.7968992,407
0.7766603,408
0.74267477,409
0.6987183,410
0.72785056,411
0.75488645,412
0.7991407,413
0.717989,414
0.7236202,415
0.77445954,416
0.79377145,417
0.695277,418
0.68439376,419
0.7275924,420
0.75893265,421
0.7387963,422
0.75004077,423
0.8018898,424
0.8344342,425
0.81520486,426
0.7996994,427
0.8203217,428
0.83743095,429
0.8430588,430
0.8264786,431
0.7862119,432
0.7473166,433
0.77544814,434
0.7490199,435
0.75072217,436
0.69755346,437
0.7216304,438
0.73698026,439
0.71381485,440
0.696716,441
0.7098487,442
0.7379785,443
0.68674225,444
0.656263,445
0.66657114,446
0.67040944,447
0.66317123,448
0.6873758,449
0.7105339,450
0.70264846,451
0.6933983,452
0.69509155,453
0.6876552,454
0.6988526,455
0.6772053,456
0.7045917,457
0.6970264,458
0.6923395,459
0.69244385,460
0.6794964,461
0.7080465,462
0.6822867,463
0.7235489,464
0.7248734,465
0.72662526,466
0.7452783,467
0.7619162,468
0.7978618,469
0.7717536,470
0.807008,471
0.82074374,472
0.8502901,473
0.8348584,474
0.84348035,475
0.8185523,476
0.7792339,477
0.778097,478
0.810424,479
0.8098534,480
0.80560565,481
0.7831642,482
0.79361814,483
0.7205563,484
0.7216383,485
0.72363925,486
0.7048782,487
0.6812305,488
0.6229146,489
0.63738257,490
0.6052538,491
0.606846,492
0.5966337,493
0.6083859,494
0.61398864,495
0.6650162,496
0.62790513,497
0.6180155,498
0.59961236,499
0.6119279,500
0.6642541,501
0.67576087,502
0.7107509,503
0.69593257,504
0.726632,505
0.70227814,506
0.71561277,507
0.72844213,508
0.74903977,509
0.75262743,510
0.7452748,511
0.749357,512
0.77856886,513
0.76081204,514
0.74396646,515
0.69933534,516
0.7116746,517
0.73740584,518
0.7244281,519
0.73648417,520
0.6930623,521
0.7325,522
0.66585624,523
0.678727,524
0.63548124,525
0.64774156,526
0.859169,527
0.87124914,528
0.8621761,529
0.90961623,530
0.86734605,531
0.86134446,532
0.83147895,533
0.8672741,534
0.885591,535
0.90618265,536
0.90346444,537
0.8801889,538
0.8750087,539
0.8840111,540
0.88193876,541
0.85011595,542
0.8709053,543
0.8753844,544
0.88132966,545
0.8992833,546
0.65239465,547
0.67383105,548
0.66625476,549
0.6951729,550
0.7204797,551
0.7085951,552
0.71654433,553
0.6861406,554
0.64463973,555
