score,window_index
0.941916,19
0.92474824,20
0.97301775,21
1.0023029,22
0.79478127,23
0.85642654,24
0.7138541,25
0.7122376,26
0.7382014,27
0.7270281,28
0.7390257,29
0.7150146,30
0.7114621,31
0.75432616,32
0.9335336,33
0.9518811,34
0.7609259,35
0.77833784,36
0.8156969,37
0.6841429,38
0.68733597,39
0.6943749,40
0.6721061,41
0.64440054,42
0.6544386,43
0.6709837,44
0.7813518,45
0.8708907,46
0.84836406,47
0.8301586,48
0.8121117,49
0.8138686,50
0.8258902,51
0.8418484,52
0.7035519,53
0.7200659,54
0.7215892,55
0.7285702,56
0.7124759,57
0.7274954,58
0.7305431,59
0.7037954,60
0.72239953,61
0.72258234,62
0.7148189,63
0.7236892,64
0.63073903,65
0.525731,66
0.54885745,67
0.640112,68
0.64591324,69
0.8385939,70
0.94045013,71
1.0004687,72
1.0165207,73
1.0030212,74
0.9841733,75
0.9840511,76
0.97792655,77
0.96154433,78
0.9670017,79
0.9659081,80
0.9467311,81
1.1210955,82
1.164543,83
1.202774,84
1.204302,85
1.3354197,86
1.3157941,87
1.2206265,88
1.2052597,89
1.0941185,90
1.0287852,91
0.83582425,92
0.8082493,93
0.7789322,94
0.77437645,95
0.76898575,96
0.74301267,97
0.7354614,98
0.7421686,99
0.7343523,100
0.80385673,101
0.67030245,102
0.74262434,103
0.73933077,104
0.8490434,105
0.70812625,106
0.7007756,107
0.6910166,108
0.67130584,109
0.6541184,110
0.6788333,111
0.68817383,112
0.68403757,113
0.91266114,114
0.92791855,115
0.9281054,116
0.9368418,117
0.9333696,118
0.9185205,119
0.9764778,120
1.0583291,121
1.0034456,122
0.8581491,123
0.87865067,124
0.75889283,125
0.7574834,126
0.7680531,127
0.7504746,128
0.7584532,129
0.7688701,130
0.78554296,131
0.7969357,132
0.8245466,133
0.56871676,134
0.56126267,135
0.5619417,136
0.6507629,137
0.6533658,138
0.672292,139
0.65742844,140
0.6088635,141
0.6068991,142
0.5887862,143
0.5908802,144
0.59381187,145
0.5983921,146
0.5926737,147
0.60722417,148
0.61069816,149
0.62501097,150
0.69596374,151
0.7079068,152
0.7028165,153
0.7176195,154
0.71736544,155
0.8428694,156
0.7506171,157
0.7774385,158
0.7417282,159
0.7255812,160
0.7437333,161
0.74611044,162
0.74868315,163
0.7337647,164
0.7292598,165
0.7217376,166
0.7030317,167
0.9711087,168
0.9364321,169
0.91766703,170
0.8152286,171
0.7941484,172
0.79057395,173
0.80811393,174
0.86346847,175
0.71067375,176
0.6925521,177
0.68105906,178
0.6811102,179
0.67998934,180
0.6695815,181
0.67278075,182
0.6926357,183
0.747126,184
0.75691795,185
0.7630405,186
0.82965666,187
0.56399673,188
0.5674833,189
0.57925063,190
0.59643084,191
0.6059462,192
0.60824853,193
0.6101493,194
0.6122816,195
0.6385219,196
0.6332506,197
0.6349509,198
0.6338639,199
0.641543,200
0.6259066,201
0.6435721,202
0.6156273,203
0.5815678,204
0.60117173,205
0.6223386,206
0.5858245,207
0.5768407,208
0.56632686,209
0.55926985,210
0.5526322,211
0.5428517,212
0.53869015,213
0.55886656,214
0.5381511,215
0.5438914,216
0.5288448,217
0.54024345,218
0.5473679,219
0.5426312,220
0.54463196,221
0.5304783,222
0.5308427,223
0.5500335,224
0.544762,225
0.5370753,226
0.5536468,227
0.5556745,228
0.5607641,229
0.552969,230
0.5728578,231
0.5760013,232
0.58304334,233
0.5306375,234
0.533322,235
0.5382266,236
0.53419864,237
0.53520584,238
0.548847,239
0.5596477,240
0.564277,241
0.5758937,242
0.5503021,243
0.52042776,244
0.51244634,245
0.51097244,246
0.5132676,247
0.5394145,248
0.5890228,249
0.5732082,250
0.6719881,251
0.664321,252
0.6803937,253
0.66747206,254
0.67452484,255
0.6601548,256
0.6510664,257
0.7543364,258
0.7454175,259
0.7569594,260
0.77646315,261
0.7563158,262
1.0477515,263
1.1334397,264
1.1438303,265
1.1208417,266
1.1076252,267
1.0977699,268
1.0614045,269
1.0792603,270
0.86709076,271
0.8904596,272
0.87172323,273
0.8800536,274
0.8772661,275
