timestamp,can_id,dlc,data_hex,scenario,is_attack
1760725354.1051786,0x1a,8,0000e1264c982cb4,normal,0
1760725354.105363,0x2f,8,0000e1264c982cb4,normal,0
1760725354.1056118,0x43,8,0000e1264c982cb4,normal,0
1760725354.1058385,0x58,8,07ffe12618946397,normal,0
1760725354.107538,0x24,8,0000d1ffcfc46594,normal,0
1760725354.1077495,0x39,8,0000d1ffcfc46594,normal,0
1760725354.110094,0x62,8,0c14d1fdf711922b,normal,0
1760725354.1151924,0x1a,8,0000e127daa82bc3,normal,0
1760725354.1153874,0x2f,8,0000e127daa82bc3,normal,0
1760725354.115609,0x43,8,0000e127daa82bc3,normal,0
1760725354.1158466,0x58,8,07ffe1278ea464e0,normal,0
1760725354.1175332,0x24,8,0000d20081784a92,normal,0
1760725354.117756,0x39,8,0000d20081784a92,normal,0
1760725354.120099,0x62,8,0c13d1fec856d4b7,normal,0
1760725354.1251712,0x1a,8,0000e1284bb59453,normal,0
1760725354.1253963,0x2f,8,0000e1284bb59453,normal,0
1760725354.1256127,0x43,8,0000e1284bb59453,normal,0
1760725354.1258533,0x58,8,07ffe1281fb9db70,normal,0
1760725354.1275241,0x24,8,0000d20117484de5,normal,0
1760725354.1277537,0x39,8,0000d20117484de5,normal,0
1760725354.1279798,0x77,8,000161cc5661b2ce,normal,0
1760725354.1282213,0x98,8,000061cc610b70cf,normal,0
1760725354.128459,0x1a7,8,000061cc610b70cf,normal,0
1760725354.1300833,0x62,8,0c14d1ffdb709cc5,normal,0
1760725354.135181,0x1a,8,0000e129dd859324,normal,0
1760725354.135394,0x2f,8,0000e129dd859324,normal,0
1760725354.1356094,0x43,8,0000e129dd859324,normal,0
1760725354.1358447,0x58,8,07ffe1298989dc07,normal,0
1760725354.137517,0x24,8,0000d202ad19447c,normal,0
1760725354.1377547,0x39,8,0000d202ad19447c,normal,0
1760725354.1379845,0x1b8,8,010061cc046ccc77,normal,0
1760725354.1382272,0x1bb,8,000061cc610b70cf,normal,0
1760725354.1401057,0x62,8,0c14d20095ccb3c3,normal,0
1760725354.1451719,0x1a,8,0000e12a67d49abd,normal,0
1760725354.145397,0x2f,8,0000e12a67d49abd,normal,0
1760725354.1456184,0x43,8,0000e12a67d49abd,normal,0
1760725354.1458535,0x58,8,07ffe12a33d8d59e,normal,0
1760725354.1475499,0x24,8,0000d2033b29430b,normal,0
1760725354.1477525,0x39,8,0000d2033b29430b,normal,0
1760725354.1501265,0x62,8,0c14d20103fcb4b4,normal,0
1760725354.1503232,0x1d3,8,000061cc610b70cf,normal,0
1760725354.1505795,0x150,8,010061cc046ccc77,normal,0
1760725354.1551595,0x1a,8,0000e12bf1e49dca,normal,0
1760725354.1553676,0x2f,8,0000e12bf1e49dca,normal,0
1760725354.1555963,0x43,8,0000e12bf1e49dca,normal,0
1760725354.1558428,0x58,8,07ffe12ba5e8d2e9,normal,0
1760725354.1575375,0x24,8,0000d20498bc2795,normal,0
1760725354.1577508,0x39,8,0000d20498bc2795,normal,0
1760725354.1601107,0x62,8,0c14d202b9adbd2d,normal,0
1760725354.165185,0x1a,8,0000e12c5271f954,normal,0
1760725354.1654065,0x2f,8,0000e12c5271f954,normal,0
1760725354.165623,0x43,8,0000e12c5271f954,normal,0
1760725354.1658547,0x58,8,07ffe12c067db677,normal,0
1760725354.1675262,0x24,8,0000d2050e8c20e2,normal,0
1760725354.167761,0x39,8,0000d2050e8c20e2,normal,0
1760725354.1700995,0x62,8,0c14d2032f9dba5a,normal,0
1760725354.1751678,0x1a,8,0000e12dc441fe23,normal,0
1760725354.175386,0x2f,8,0000e12dc441fe23,normal,0
1760725354.175634,0x43,8,0000e12dc441fe23,normal,0
1760725354.1758702,0x58,8,07ffe12d904db100,normal,0
1760725354.1775331,0x24,8,0000d206b4dd297b,normal,0
1760725354.177761,0x39,8,0000d206b4dd297b,normal,0
1760725354.180091,0x62,8,0c13d204091e91c1,normal,0
1760725354.185195,0x1a,8,0000e12e7e10f7ba,normal,0
1760725354.1853826,0x2f,8,0000e12e7e10f7ba,normal,0
1760725354.1856172,0x43,8,0000e12e7e10f7ba,normal,0
1760725354.185861,0x58,8,07ffe12e2a1cb899,normal,0
1760725354.1860778,0x6d,8,000049bedbb5262c,normal,0
1760725354.1863368,0xa2,8,000049bedbb5262c,normal,0
1760725354.1865442,0x1c9,8,000049bedbb5262c,normal,0
1760725354.1875336,0x24,8,0000d20722ed2e0c,normal,0
1760725354.1877766,0x39,8,0000d20722ed2e0c,normal,0
1760725354.1901338,0x62,8,0c14d2051a38d9b3,normal,0
1760725354.1951914,0x1a,8,0000e12fe820f0cd,normal,0
1760725354.195403,0x2f,8,0000e12fe820f0cd,normal,0
1760725354.195643,0x43,8,0000e12fe820f0cd,normal,0
1760725354.1958892,0x58,8,07ffe12fbc2cbfee,normal,0
1760725354.197553,0x24,8,0000d208b3f0919c,normal,0
1760725354.1977668,0x39,8,0000d208b3f0919c,normal,0
1760725354.2001183,0x62,8,0c14d206a069d02a,normal,0
1760725354.2051501,0x1a,8,0000e1301d2df840,normal,0
1760725354.205371,0x2f,8,0000e1301d2df840,normal,0
1760725354.2056086,0x43,8,0000e1301d2df840,normal,0
1760725354.2058709,0x58,8,07ffe1304921b763,normal,0
1760725354.2075593,0x24,8,0000d20925c096eb,normal,0
1760725354.2077684,0x39,8,0000d20925c096eb,normal,0
1760725354.2101054,0x62,8,0c14d2073659d75d,normal,0
