timestamp,can_id,dlc,data_hex,scenario,is_attack
1762966952.7008348,0x1a,8,00000000a960961d,normal,0
1762966952.7008467,0x2f,8,019b0000a960961d,normal,0
1762966952.7008512,0x43,8,02280000a960961d,normal,0
1762966952.7008548,0x58,8,08d20000a960961d,normal,0
1762966952.700858,0x6d,8,00000000a960961d,normal,0
1762966952.700865,0x1c9,8,00000000a960961d,normal,0
1762966952.7377357,0x1a,8,00000000e80954f0,normal,0
1762966952.7377567,0x2f,8,01aa0000e80954f0,normal,0
1762966952.7377684,0x43,8,02280000e80954f0,normal,0
1762966952.737779,0x58,8,08310000e80954f0,normal,0
1762966952.7377887,0x6d,8,00000000e80954f0,normal,0
1762966952.737799,0x1c9,8,00000000e80954f0,normal,0
1762966952.7675898,0x1a,8,0000000088c9f165,normal,0
1762966952.7676024,0x2f,8,01b5000088c9f165,normal,0
1762966952.767607,0x43,8,0228000088c9f165,normal,0
1762966952.7676108,0x58,8,0836000088c9f165,normal,0
1762966952.7676144,0x6d,8,0000000088c9f165,normal,0
1762966952.7676187,0x1c9,8,0000000088c9f165,normal,0
1762966952.826949,0x1a,8,000000006728d6ef,normal,0
1762966952.8269627,0x2f,8,01c800006728d6ef,normal,0
1762966952.8269675,0x43,8,022800006728d6ef,normal,0
1762966952.8269715,0x58,8,084400006728d6ef,normal,0
1762966952.826975,0x6d,8,000000006728d6ef,normal,0
1762966952.8269796,0x1c9,8,000000006728d6ef,normal,0
1762966952.8644686,0x1a,8,00000000edae31be,normal,0
1762966952.8644907,0x2f,8,01d10000edae31be,normal,0
1762966952.8645027,0x43,8,02280000edae31be,normal,0
1762966952.8645134,0x58,8,08400000edae31be,normal,0
1762966952.8645234,0x6d,8,00000000edae31be,normal,0
1762966952.8645337,0x1c9,8,00000000edae31be,normal,0
1762966952.9275856,0x1a,8,0000000026e84cb4,normal,0
1762966952.9275982,0x2f,8,01de000026e84cb4,normal,0
1762966952.9276025,0x43,8,0228000026e84cb4,normal,0
1762966952.927606,0x58,8,084f000026e84cb4,normal,0
1762966952.9276094,0x6d,8,0000000026e84cb4,normal,0
1762966952.9276137,0x1c9,8,0000000026e84cb4,normal,0
1762966952.9609585,0x1a,8,00000000e88c822b,normal,0
1762966952.96097,0x2f,8,01e30000e88c822b,normal,0
1762966952.9609742,0x43,8,02280000e88c822b,normal,0
1762966952.960978,0x58,8,08460000e88c822b,normal,0
1762966952.9609816,0x6d,8,00000000e88c822b,normal,0
1762966952.9609857,0x1c9,8,00000000e88c822b,normal,0
1762966952.9931753,0x1a,8,0000000012988059,normal,0
1762966952.9931881,0x2f,8,01e8000012988059,normal,0
1762966952.9931924,0x43,8,0228000012988059,normal,0
1762966952.993196,0x58,8,0913000012988059,normal,0
1762966952.9931996,0x6d,8,0000000012988059,normal,0
1762966952.9932036,0x1c9,8,0000000012988059,normal,0
1762966953.0297372,0x1a,8,00000000f3c7ea21,normal,0
1762966953.0297492,0x2f,8,01f10000f3c7ea21,normal,0
1762966953.0297537,0x43,8,02280000f3c7ea21,normal,0
1762966953.0297575,0x58,8,08bc0000f3c7ea21,normal,0
1762966953.0297606,0x6d,8,00000000f3c7ea21,normal,0
1762966953.0297647,0x1c9,8,00000000f3c7ea21,normal,0
1762966953.0699863,0x1a,8,0000000095cb5f60,normal,0
1762966953.07,0x2f,8,01ef000095cb5f60,normal,0
1762966953.0700054,0x43,8,0228000095cb5f60,normal,0
1762966953.0700097,0x58,8,08ca000095cb5f60,normal,0
1762966953.0700138,0x6d,8,0000000095cb5f60,normal,0
1762966953.0700192,0x1c9,8,0000000095cb5f60,normal,0
1762966953.1043582,0x1a,8,00000000e3e65f68,normal,0
1762966953.1043699,0x2f,8,01ee0000e3e65f68,normal,0
1762966953.1043742,0x43,8,02280000e3e65f68,normal,0
1762966953.1043775,0x58,8,08ca0000e3e65f68,normal,0
1762966953.104381,0x6d,8,00000000e3e65f68,normal,0
1762966953.104385,0x1c9,8,00000000e3e65f68,normal,0
1762966953.1371858,0x1a,8,00000000208acd2b,normal,0
1762966953.1371994,0x2f,8,01ee0000208acd2b,normal,0
1762966953.1372046,0x43,8,02280000208acd2b,normal,0
1762966953.1372092,0x58,8,08d00000208acd2b,normal,0
1762966953.137213,0x6d,8,00000000208acd2b,normal,0
1762966953.1372187,0x1c9,8,00000000208acd2b,normal,0
1762966953.1700983,0x1a,8,00000000e1bd89f9,normal,0
1762966953.1701095,0x2f,8,01ee0000e1bd89f9,normal,0
1762966953.1701138,0x43,8,02280000e1bd89f9,normal,0
1762966953.1701171,0x58,8,08d60000e1bd89f9,normal,0
1762966953.1701205,0x6d,8,00000000e1bd89f9,normal,0
1762966953.1701245,0x1c9,8,00000000e1bd89f9,normal,0
1762966953.2008514,0x1a,8,000000001ba9b8b7,normal,0
1762966953.2008662,0x2f,8,01fe00001ba9b8b7,normal,0
1762966953.2008712,0x43,8,022800001ba9b8b7,normal,0
1762966953.2008755,0x58,8,08da00001ba9b8b7,normal,0
1762966953.2008798,0x6d,8,000000001ba9b8b7,normal,0
1762966953.2008843,0x1c9,8,000000001ba9b8b7,normal,0
1762966953.2286565,0x1a,8,00000000844d0ab3,normal,0
1762966953.2286677,0x2f,8,020b0000844d0ab3,normal,0
1762966953.228672,0x43,8,02280000844d0ab3,normal,0
1762966953.2286756,0x58,8,08dc0000844d0ab3,normal,0
1762966953.228679,0x6d,8,00000000844d0ab3,normal,0
1762966953.228683,0x1c9,8,00000000844d0ab3,normal,0
1762966953.259575,0x1a,8,000000002a50bbc5,normal,0
1762966953.2596896,0x2f,8,021700002a50bbc5,normal,0
1762966953.2596939,0x43,8,022800002a50bbc5,normal,0
1762966953.2596977,0x58,8,08e700002a50bbc5,normal,0
1762966953.2597008,0x6d,8,000000002a50bbc5,normal,0
1762966953.259705,0x1c9,8,000000002a50bbc5,normal,0
1762966953.2870362,0x1a,8,00000000012de569,normal,0
1762966953.287047,0x2f,8,02200000012de569,normal,0
1762966953.2870512,0x43,8,02270000012de569,normal,0
1762966953.2870545,0x58,8,08e80000012de569,normal,0
1762966953.287058,0x6d,8,00000000012de569,normal,0
1762966953.2870624,0x1c9,8,00000000012de569,normal,0
1762966953.316644,0x1a,8,000000009390dfec,normal,0
1762966953.3166635,0x2f,8,022700009390dfec,normal,0
1762966953.316675,0x43,8,022700009390dfec,normal,0
1762966953.3166852,0x58,8,09b500009390dfec,normal,0
1762966953.3166952,0x6d,8,000000009390dfec,normal,0
1762966953.3167052,0x1c9,8,000000009390dfec,normal,0
1762966953.3510354,0x1a,8,00000000231ba44f,normal,0
1762966953.3510494,0x2f,8,02430000231ba44f,normal,0
1762966953.351055,0x43,8,02270000231ba44f,normal,0
1762966953.35106,0x58,8,09830000231ba44f,normal,0
1762966953.3510633,0x6d,8,00000000231ba44f,normal,0
1762966953.3510673,0x1c9,8,00000000231ba44f,normal,0
1762966953.3837516,0x1a,8,0000000018dec16a,normal,0
1762966953.3837729,0x2f,8,0246000018dec16a,normal,0
1762966953.3837852,0x43,8,0227000018dec16a,normal,0
1762966953.3837962,0x58,8,0986000018dec16a,normal,0
1762966953.3838062,0x6d,8,0000000018dec16a,normal,0
1762966953.3838167,0x1c9,8,0000000018dec16a,normal,0
1762966953.4173324,0x1a,8,00000000e388247a,normal,0
