score,window_index
0.46809518,19
0.46692082,20
0.47341332,21
0.47937948,22
0.48740143,23
0.48460847,24
0.48184848,25
0.48920274,26
0.47629312,27
0.45671654,28
0.4544956,29
0.46023887,30
0.45530492,31
0.45740357,32
0.44878826,33
0.44631234,34
0.45153853,35
0.4571381,36
0.4514711,37
0.42713967,38
0.43518472,39
0.43929377,40
0.44611835,41
0.45135704,42
0.45123178,43
0.45291167,44
0.44511735,45
0.437249,46
0.88645065,47
1.0560693,48
1.2181121,49
1.3651936,50
1.4958895,51
1.7783359,52
1.9342203,53
2.074517,54
2.1955473,55
2.326668,56
2.4582725,57
2.6192899,58
2.7351365,59
3.3731976,60
3.3937955,61
3.3729281,62
3.3656254,63
3.3869996,64
3.36119,65
3.3774514,66
2.9388824,67
2.8084981,68
2.6483717,69
2.5220475,70
2.402228,71
2.1038744,72
1.9522868,73
1.8363278,74
1.7061403,75
1.5786117,76
1.4511895,77
1.2259425,78
1.0228096,79
0.3818915,80
0.37042153,81
0.35663083,82
0.35540667,83
0.352984,84
0.36185142,85
0.35483882,86
0.3545923,87
0.34384254,88
0.33440888,89
0.343583,90
0.3517498,91
0.36344498,92
0.37639192,93
0.37069637,94
0.37239984,95
0.38229775,96
0.39584538,97
0.39623845,98
0.40689337,99
0.4328431,100
0.44270507,101
0.44018444,102
0.47260353,103
0.49425375,104
0.4782278,105
0.48600543,106
0.4858758,107
0.47811344,108
0.46921608,109
0.47650763,110
0.46584594,111
0.4591069,112
0.4521627,113
0.46586555,114
0.47356173,115
0.47534272,116
0.4797014,117
0.49355653,118
0.51748866,119
0.50411105,120
0.5156639,121
0.52214193,122
0.49112746,123
0.45353723,124
0.46515134,125
0.4588467,126
0.45937622,127
0.46863636,128
0.4713068,129
0.45482367,130
0.4616169,131
0.46392798,132
0.47042748,133
0.44533837,134
0.42297623,135
0.42160174,136
0.39323056,137
0.38566124,138
0.36549515,139
0.35993114,140
0.35214326,141
0.3564374,142
0.35934082,143
0.36417753,144
0.36667854,145
0.37508738,146
0.38861084,147
0.40231457,148
0.39749444,149
0.39549705,150
0.40492135,151
0.41842622,152
0.4199528,153
0.42021897,154
0.4244046,155
