score,window_index
0.58596414,19
0.60006124,20
0.566679,21
0.56449425,22
0.5563964,23
0.54110867,24
0.5587878,25
0.5648377,26
0.5390983,27
0.5394999,28
0.53221226,29
0.5548962,30
0.59011966,31
0.58218133,32
0.544322,33
0.5391655,34
0.56082076,35
0.54872346,36
0.56386477,37
0.577878,38
0.507242,39
0.5103773,40
0.49204355,41
0.4984378,42
0.50063753,43
0.5295976,44
0.5197796,45
0.52518636,46
0.5189162,47
0.5170253,48
0.47948867,49
0.46760464,50
0.43266663,51
0.46003902,52
0.46666265,53
0.48701286,54
0.47676367,55
0.47470444,56
0.486618,57
0.49437007,58
0.49731353,59
0.49703753,60
0.50526255,61
0.499297,62
0.49234384,63
0.4326165,64
0.42609066,65
0.43745947,66
0.45555118,67
0.47933742,68
0.49224243,69
0.4892988,70
0.49526185,71
0.50539154,72
0.506162,73
0.4697847,74
0.49013785,75
0.5254722,76
0.47412646,77
0.50155264,78
0.46942985,79
0.4638042,80
0.46035087,81
0.49695662,82
0.49922925,83
0.5304977,84
0.5262725,85
0.511456,86
0.50718796,87
0.5031555,88
0.5058436,89
0.5017816,90
0.5094165,91
0.47865242,92
0.4939707,93
0.5064396,94
0.5111275,95
0.4634563,96
0.47849602,97
0.48023245,98
0.50698113,99
0.5036786,100
0.49391353,101
0.4792049,102
0.47264484,103
0.44790038,104
0.44121617,105
0.46162358,106
0.4606227,107
0.4705828,108
0.45772535,109
0.45912215,110
0.45562848,111
0.46143615,112
0.4520972,113
0.45200413,114
0.45467672,115
0.44974473,116
0.46044573,117
0.4567982,118
0.45342198,119
0.50552624,120
0.5183978,121
0.50605166,122
0.49608368,123
0.50531983,124
0.54165477,125
0.5182248,126
0.52187395,127
0.51280415,128
0.50106585,129
0.5048301,130
0.5559231,131
0.53886455,132
0.5450589,133
0.55513465,134
0.5395151,135
0.5635715,136
0.58860236,137
0.548443,138
0.6022779,139
0.5230436,140
0.5064975,141
0.5233791,142
0.5404574,143
0.5753312,144
0.5584239,145
0.57898206,146
0.56951815,147
0.5603172,148
0.55030245,149
0.56772494,150
0.5275089,151
0.5263791,152
0.57214797,153
0.57982934,154
0.60980415,155
0.5910903,156
0.58745307,157
0.60257715,158
0.61197543,159
0.5827233,160
0.5826296,161
0.5701521,162
0.5483615,163
0.58935344,164
0.57185596,165
0.6128033,166
0.64046663,167
0.6338466,168
0.6246896,169
0.6279445,170
0.6449268,171
0.68260366,172
0.6554941,173
0.6264943,174
0.6061432,175
0.5975889,176
0.6072139,177
0.6289309,178
0.64792496,179
0.6491578,180
0.7569717,181
0.7667434,182
0.7640627,183
0.7230331,184
0.79480165,185
0.6865711,186
0.67579406,187
0.6828984,188
0.67254055,189
0.68779415,190
0.6696254,191
0.6594899,192
0.7036404,193
0.695406,194
0.7018092,195
0.7214961,196
0.7180381,197
0.6863679,198
0.66504765,199
0.7135999,200
0.61840403,201
0.6454132,202
0.6221756,203
0.60736704,204
0.5565951,205
0.55723274,206
0.5585975,207
0.5464917,208
0.5682525,209
0.5464376,210
0.60013294,211
0.57892865,212
0.55667675,213
0.54921216,214
0.5589728,215
0.5295651,216
0.51063573,217
0.4999309,218
0.5027939,219
0.4724658,220
0.54377514,221
0.51883554,222
0.5172588,223
0.54879045,224
0.5696612,225
0.5856738,226
0.5643813,227
0.60304683,228
0.605338,229
0.60723895,230
0.6158115,231
0.6533866,232
0.6810628,233
0.64474255,234
0.65788734,235
0.64668393,236
0.6703628,237
0.67036474,238
0.6358972,239
0.6418905,240
0.5509095,241
0.5620793,242
0.5772398,243
0.5454248,244
0.54878795,245
0.53920287,246
0.55677503,247
0.5393757,248
0.5186673,249
0.5251682,250
0.51248336,251
0.48978028,252
0.4876518,253
0.5038031,254
0.5054006,255
0.5201334,256
0.5047954,257
0.50541365,258
0.53866,259
0.54206413,260
0.48804933,261
0.48630118,262
0.45614606,263
0.48556116,264
0.49820304,265
0.47578993,266
0.45466262,267
0.4554361,268
0.44709817,269
0.46758965,270
0.47672603,271
0.5038675,272
0.4646761,273
0.47710598,274
0.4780462,275
0.4651107,276
0.4743451,277
0.48485884,278
0.4945227,279
0.49488246,280
0.4870527,281
0.4719194,282
0.49779907,283
0.529289,284
0.5172594,285
0.54313433,286
0.55602723,287
0.5480873,288
0.58087134,289
0.5793896,290
0.56573796,291
0.5227757,292
0.58946794,293
0.5800065,294
0.5774003,295
0.5725098,296
0.5622048,297
0.56284076,298
0.58013994,299
0.61565554,300
0.6221542,301
0.655766,302
0.6460165,303
0.60722774,304
0.5969136,305
0.57791096,306
0.5659932,307
0.5854153,308
0.5585245,309
0.53580046,310
0.54939294,311
0.5594716,312
0.5047402,313
0.5094982,314
0.47709945,315
0.46884635,316
0.45991987,317
0.45647174,318
0.43061566,319
0.37441793,320
0.3841891,321
0.3978276,322
0.40378356,323
0.42711356,324
0.4285717,325
0.43158752,326
0.43894222,327
0.41816655,328
0.42589232,329
0.42672417,330
0.4205801,331
0.4200966,332
0.42230293,333
0.41670707,334
0.4216754,335
0.42896742,336
0.45189583,337
0.4557179,338
0.47678956,339
0.47509548,340
0.44699472,341
0.4447991,342
0.44691285,343
0.42089573,344
0.42087552,345
0.431283,346
0.43522185,347
0.449513,348
0.43180394,349
0.4168375,350
0.41569605,351
0.40596166,352
0.4047809,353
0.4219139,354
0.4331147,355
0.4425454,356
0.445397,357
0.5004685,358
0.49275407,359
0.50302243,360
0.5387494,361
0.55143714,362
0.5563978,363
0.550097,364
0.562275,365
0.5506191,366
0.5638357,367
0.5335863,368
0.54347724,369
0.56990707,370
0.6103557,371
0.6276745,372
